Cliente,Modelo,Silhouette,Davies Bouldin,Calinski Harabasz
Cliente 8,Spectral,0.5095178886080468,0.9324629778002995,14989.034480656237
Cliente 29,Spectral,0.6928865054332922,0.4532793734447611,4510.283920071467
Cliente 15,Spectral,0.4125583129707523,1.070303539034674,10884.498800073046
Cliente 14,Spectral,0.5238453827056891,0.7583450148014262,5291.715414995245
Cliente 28,Spectral,0.61450163433087,0.6053416606251941,10739.446833880973
Cliente 16,Spectral,0.5555340492173937,0.7490109587426722,22262.153523220084
Cliente 17,Spectral,0.5669988198466507,0.7154388080902121,24216.61118567497
Cliente 13,Spectral,0.5614579126432115,0.7303876952434711,3781.593836608883
Cliente 12,Spectral,0.4827981019463726,0.8805798515460996,11025.248674340222
Cliente 10,Spectral,0.5190997700451119,0.8152343164511741,18039.385003744363
Cliente 11,Spectral,0.42578742111211887,1.0438598800380905,10796.778743077974
Cliente 20,Spectral,0.5013555501625327,0.8634142223778577,14941.408481074934
Cliente 21,Spectral,0.7019951189913881,0.5764778050101973,7663.479970688539
Cliente 23,Spectral,0.40507918562625783,1.0903169884570405,6706.126391031812
Cliente 22,Spectral,0.40743358258398793,1.0864497937244453,6491.1884804562615
Cliente 26,Spectral,0.5250580254492999,0.8045502057749828,13321.3610129252
Cliente 27,Spectral,0.512454654830325,0.8129553035589193,11187.148466615849
Cliente 25,Spectral,0.40029710506198873,1.103930499135902,6257.6550870834335
Cliente 19,Spectral,0.6000286025297871,0.6500566402686041,22874.74589641858
Cliente 18,Spectral,0.5325958753438296,0.7957662725697551,20107.389049215435
Cliente 24,Spectral,0.5259092139014053,0.8868991174280607,3140.5993829920017
Cliente 30,Spectral,0.4827981019463726,0.8805798515460997,11025.248674340222
Cliente 1,Spectral,0.6234531954427073,0.6263491596814503,7728.219666457562
Cliente 3,Spectral,0.5898348913480753,0.6603002596024051,18121.663041037056
Cliente 2,Spectral,0.5957109026686644,0.660007578893937,19226.051538368178
Cliente 6,Spectral,0.5565193928287577,0.7698989652110719,17434.16810044432
Cliente 7,Spectral,0.5940458161457747,0.6904632812102198,18283.6424858197
Cliente 5,Spectral,0.582437619894656,0.6592343610176195,7229.871269002417
Cliente 4,Spectral,0.6311719439893605,0.6219601674342655,22187.842447580777
